date,description,amount
2024-01-05,Starbucks Coffee Shop,-6.50
2024-01-06,Whole Foods Market Groceries,-125.32
2024-01-07,Shell Gas Station,-52.00
2024-01-08,Netflix Monthly Subscription,-15.99
2024-01-10,Amazon Prime Shopping,-89.99
2024-01-12,Chipotle Mexican Grill,-12.45
2024-01-15,Salary Direct Deposit,3500.00
2024-01-16,CVS Pharmacy Medical,-34.99
2024-01-18,Uber Ride to Airport,-45.20
2024-01-20,Target Store Purchase,-67.89
2024-01-22,Verizon Wireless Bill,-85.00
2024-01-24,McDonald's Drive Thru,-8.75
2024-01-25,Trader Joe's Grocery,-78.45
2024-01-27,LA Fitness Membership,-29.99
2024-01-28,Best Buy Electronics,-299.99
2024-02-01,Rent Payment,-1850.00
2024-02-03,Dunkin Donuts Coffee,-4.25
2024-02-05,Costco Wholesale,-156.78
2024-02-07,Electric Company Utility Bill,-95.50
2024-02-10,Panera Bread Restaurant,-15.60
2024-02-12,Home Depot Hardware,-42.33
2024-02-15,Payroll Deposit,3500.00
2024-02-16,Spotify Premium Music,-9.99
2024-02-18,Uber Eats Food Delivery,-28.50
2024-02-20,Walgreens Pharmacy,-22.15
2024-02-22,AMC Movie Theater,-32.00
2024-02-25,Safeway Supermarket,-94.67
2024-02-28,Internet Service Provider,-79.99
2024-03-01,Apple App Store Purchase,-12.99
2024-03-03,Taco Bell Fast Food,-9.85
2024-03-05,Gas Station Fuel,-48.20
2024-03-08,Amazon AWS Services,-15.00
2024-03-10,Lyft Ride Share,-18.75
2024-03-12,Kroger Grocery Store,-102.45
2024-03-15,Salary Direct Deposit,3500.00
2024-03-17,Steam Gaming Platform,-59.99
2024-03-20,Dentist Office Visit,-150.00
2024-03-22,Olive Garden Restaurant,-45.30
2024-03-25,Car Insurance Payment,-125.00
2024-03-28,Nike Store Clothing,-89.99
2024-03-30,Instacart Grocery Delivery,-118.50

